id,use,fold,sex_m,sex_f,age_class_0,age_class_1,age_class_2,age_class_3,age_class_4,age_class_5,age_class_6,age_class_7,id_orig,box_x,box_y,box_s
00000.jpg,0,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.1.10399646885_67c7d20df9_o.jpg,-1,-1,-1
00001.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.10424815813_e94629b1ec_o.jpg,103,102,382
00002.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.1.10437979845_5985be4b26_o.jpg,115,100,370
00003.jpg,0,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.3.10437979845_5985be4b26_o.jpg,-1,-1,-1
00004.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.11816644924_075c3d8d59_o.jpg,133,111,349
00005.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.1.11562582716_dbc2eb8002_o.jpg,138,47,414
00006.jpg,1,0,0.0,1.0,0,0,0,0,0,1,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.4.10424595844_1009c687e4_o.jpg,137,110,343
00007.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.5.9506931745_796300ca4a_o.jpg,112,104,342
00008.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.5.10190308156_5c748ab2da_o.jpg,101,94,293
00009.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.10190308156_5c748ab2da_o.jpg,86,84,266
00010.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.11624488765_9db0b93c94_o.jpg,123,115,353
00011.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.6.10204739113_0e2ae11708_o.jpg,107,104,381
00012.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.1.10204739113_0e2ae11708_o.jpg,124,105,334
00013.jpg,1,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.11518638385_cac7193c86_o.jpg,108,116,359
00014.jpg,1,0,0.0,1.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.1.11341941104_2bcd4b99e0_o.jpg,87,72,403
00015.jpg,0,0,1.0,0.0,0,0,0,0,1,0,0,0,adience/faces/30601258@N03/coarse_tilt_aligned_face.2.11431644464_5510e0b7e9_o.jpg,-1,-1,-1
